kind,path,classification,file_count,frontmatter_count,symlink
agent,/Users/steven/.agent-skills/skills/domain-modeling/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/git-guardrails-claude-code/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/grill-me/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/grill-with-docs/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/grilling/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/handoff/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/hyperframes-keyframes/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/implement/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/improve-codebase-architecture/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/loop-me/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/migrate-to-shoehorn/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/motion-graphics/agents,canonical-source,3,0,False
agent,/Users/steven/.agent-skills/skills/prototype/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-captions/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-create/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-docs/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-interactivity/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-maps/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-markup/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-markup/remotion-maps/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-multimedia/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-render/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-saas/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-studio/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/remotion-best-practices/remotion-upgrade/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/research/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/resolving-merge-conflicts/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/scaffold-exercises/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/setup-matt-pocock-skills/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/setup-pre-commit/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/setup-ts-deep-modules/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/skill-creator/agents,canonical-source,3,0,False
agent,/Users/steven/.agent-skills/skills/skill-installer/agents,canonical-source,0,0,False
skill,/Users/steven/.agent-skills/skills/taste-skill/skills,canonical-source,12,12,False
agent,/Users/steven/.agent-skills/skills/tdd/agents,canonical-source,0,0,False
